id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
jVjGKCZS/,jVjGKCZS57,57,52,Attempt saved. Yoshinori Muto (1. FSV Mainz 05) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Jairo Samperio with a through ball.,1,12.0,1,Mainz,FC Cologne,yoshinori muto,jairo samperio,,,5.0,1.0,0,3.0,1.0,4,1.0,0
jVjGKCZS/,jVjGKCZS58,58,52,Attempt missed. Pablo De Blasis (1. FSV Mainz 05) right footed shot from the right side of the box is close: but misses to the right.,1,,1,Mainz,FC Cologne,pablo de blasis,,,,9.0,2.0,0,11.0,1.0,0,1.0,0
jVjGKCZS/,jVjGKCZS59,59,54,Foul by Pablo De Blasis (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,pablo de blasis,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS60,60,54,Marco Hoger (1. FC Koln) wins a free kick in the defensive half.,8,,2,FC Cologne,Mainz,marco hoger,,,,,,0,2.0,,0,,0
jVjGKCZS/,jVjGKCZS61,61,59,Foul by Christian Clemens (1. FC Koln).,3,,2,FC Cologne,Mainz,christian clemens,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS62,62,59,Gaetan Bussmann (1. FSV Mainz 05) wins a free kick in the defensive half.,8,,1,Mainz,FC Cologne,gaetan bussmann,,,,,,0,2.0,,0,,0
jVjGKCZS/,jVjGKCZS63,63,63,Corner:  1. FC Koln. Conceded by Niko Bungert.,2,,2,FC Cologne,Mainz,,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS64,64,64,Danny Latza (1. FSV Mainz 05) wins a free kick in the attacking half.,8,,1,Mainz,FC Cologne,danny latza,,,,,,0,1.0,,0,,0
jVjGKCZS/,jVjGKCZS65,65,64,Foul by Frederik Sorensen (1. FC Koln).,3,,2,FC Cologne,Mainz,frederik sorensen,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS66,66,64,Frederik Sorensen (1. FC Koln) is shown the yellow card for a bad foul.,4,,2,FC Cologne,Mainz,frederik sorensen,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS67,67,67,Attempt missed. Marco Hoger (1. FC Koln) right footed shot from outside the box is too high. Assisted by Frederik Sorensen.,1,12.0,2,FC Cologne,Mainz,marco hoger,frederik sorensen,,,10.0,2.0,0,15.0,1.0,1,1.0,0
jVjGKCZS/,jVjGKCZS68,68,69,Foul by Frederik Sorensen (1. FC Koln).,3,,2,FC Cologne,Mainz,frederik sorensen,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS69,69,69,Yoshinori Muto (1. FSV Mainz 05) wins a free kick on the left wing.,8,,1,Mainz,FC Cologne,yoshinori muto,,,,,,0,4.0,,0,,0
jVjGKCZS/,jVjGKCZS70,70,71,Attempt missed. Levin Oztunali (1. FSV Mainz 05) right footed shot from the centre of the box is too high.,1,,1,Mainz,FC Cologne,levin oztunali,,,,10.0,2.0,0,3.0,1.0,0,1.0,0
jVjGKCZS/,jVjGKCZS71,71,73,Corner:  1. FC Koln. Conceded by Niko Bungert.,2,,2,FC Cologne,Mainz,,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS72,72,74,Substitution: 1. FC Koln. Leonardo Bittencourt replaces Christian Clemens.,7,,2,FC Cologne,Mainz,,,leonardo bittencourt,christian clemens,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS73,73,76,Foul by Fabian Frei (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,fabian frei,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS74,74,76,Jonas Hector (1. FC Koln) wins a free kick in the defensive half.,8,,2,FC Cologne,Mainz,jonas hector,,,,,,0,2.0,,0,,0
jVjGKCZS/,jVjGKCZS75,75,77,Substitution: 1. FSV Mainz 05. Mounir Bouziane replaces Jairo Samperio.,7,,1,Mainz,FC Cologne,,,mounir bouziane,jairo samperio,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS76,76,81,Dominic Maroh (1. FC Koln) wins a free kick in the defensive half.,8,,2,FC Cologne,Mainz,dominic maroh,,,,,,0,2.0,,0,,0
jVjGKCZS/,jVjGKCZS77,77,81,Foul by Yoshinori Muto (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,yoshinori muto,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS78,78,82,Corner:  1. FC Koln. Conceded by Daniel Brosinski.,2,,2,FC Cologne,Mainz,,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS79,79,83,Attempt saved. Yuya Osako (1. FC Koln) right footed shot from a difficult angle on the left is saved in the centre of the goal. Assisted by Konstantin Rausch.,1,12.0,2,FC Cologne,Mainz,yuya osako,konstantin rausch,,,5.0,1.0,0,7.0,1.0,1,1.0,0
jVjGKCZS/,jVjGKCZS80,80,83,Offside: 1. FC Koln. Yuya Osako tries a through ball: but Anthony Modeste is caught offside.,9,13.0,2,FC Cologne,Mainz,anthony modeste,yuya osako,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS81,81,84,Foul by Mounir Bouziane (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,mounir bouziane,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS82,82,84,Jonas Hector (1. FC Koln) wins a free kick in the defensive half.,8,,2,FC Cologne,Mainz,jonas hector,,,,,,0,2.0,,0,,0
jVjGKCZS/,jVjGKCZS83,83,87,Foul by Pawel Olkowski (1. FC Koln).,3,,2,FC Cologne,Mainz,pawel olkowski,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS84,84,87,Pablo De Blasis (1. FSV Mainz 05) wins a free kick in the defensive half.,8,,1,Mainz,FC Cologne,pablo de blasis,,,,,,0,2.0,,0,,0
jVjGKCZS/,jVjGKCZS85,85,89,Substitution: 1. FSV Mainz 05. Jean-Philippe Gbamin replaces Yoshinori Muto.,7,,1,Mainz,FC Cologne,,,jeanphilippe gbamin,yoshinori muto,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS86,86,90,Attempt missed. Leonardo Bittencourt (1. FC Koln) left footed shot from outside the box is close: but misses to the right.,1,,2,FC Cologne,Mainz,leonardo bittencourt,,,,9.0,2.0,0,15.0,2.0,0,1.0,0
